Complaint Number,Major Crime Head,Crime Head and Section,Minor Crime Head,Commits,Month
371600116,Murder ,Sec.302/303 IPC,Others,79,01-03-2021
359273994,Murder ,Sec.302/303 IPC,For gain,3,01-03-2021
415805453,Murder ,Sec.302/303 IPC,Over Property Dispute,5,01-03-2021
251546004,Murder ,Sec.302/303 IPC,Due to Personal Vendetta or enemity,3,01-03-2021
624630216,Murder ,Sec.302/303 IPC,Due to Sexual jealousy,0,01-03-2021
149811574,Murder ,Sec.302/303 IPC,For dowry by burning,1,01-03-2021
749998471,Murder ,Sec.302/303 IPC,For dowry by other means,1,01-03-2021
508630273,Murder ,Sec.302/303 IPC,Due to Communalism,0,01-03-2021
975743412,Murder ,Sec.302/303 IPC,Due to Casteism,0,01-03-2021
590638275,Murder ,Sec.302/303 IPC,Witch Craft (Sorcery),0,01-03-2021
185691443,Murder ,Sec.302/303 IPC,For Human Sacrifice,1,01-03-2021
824663386,Murder ,Sec.302/303 IPC,Due to Terrorism/Naxalism / Extremism,0,01-03-2021
534959121,Murder ,Sec.302/303 IPC,For Political Reasons,0,01-03-2021
448659551,Murder ,Sec.302/303 IPC,Due to Adultery,3,01-03-2021
998429019,Murder ,Sec.302/303 IPC,Civil Disputes,2,01-03-2021
221366121,Murder ,Sec.302/303 IPC,Electoral Gain,0,01-03-2021
280765300,Murder ,Sec.302/303 IPC,Gang Rivalry,0,01-03-2021
915080831,Murder ,Sec.302/303 IPC,Love Intrigue,1,01-03-2021
699918040,Murder ,Sec.302/303 IPC,Professional,0,01-03-2021
492283167,Murder ,Sec.302/303 IPC,Psychopathic/Serial Killer/Lunacy,0,01-03-2021
886575789,Murder ,Sec.302/303 IPC,Rape with Murder,0,01-03-2021
748742428,Murder ,Sec.302/303 IPC,Revenge/Enemity,6,01-03-2021
823000770,Murder ,Sec.302/303 IPC,Sudden Quarrel,5,01-03-2021
978579954,Murder ,Sec.302/303 IPC,Village Dispute,0,01-03-2021
372582288,Murder ,Sec.302/303 IPC,Custodial,0,01-03-2021
598062257,ATTEMPT TO MURDER ,Sec. 307 IPC,Others,153,01-03-2021
227323376,ATTEMPT TO MURDER ,Sec. 307 IPC,For Gain,0,01-03-2021
134672344,ATTEMPT TO MURDER ,Sec. 307 IPC,Over Property Dispute,11,01-03-2021
591783875,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Personal Vendetta or enemity,10,01-03-2021
834212518,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Sexual jealousy,2,01-03-2021
368389376,ATTEMPT TO MURDER ,Sec. 307 IPC,For Dowry other Means,5,01-03-2021
819217834,ATTEMPT TO MURDER ,Sec. 307 IPC,Dowry By Burning,0,01-03-2021
975280737,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Communalism,0,01-03-2021
229815464,ATTEMPT TO MURDER ,Sec. 307 IPC,Due to Casteism,0,01-03-2021
609719707,ATTEMPT TO MURDER ,Sec. 307 IPC,Witch Craft (Sorcery),0,01-03-2021
571827799,ATTEMPT TO MURDER ,Sec. 307 IPC,For Human Sacrifice,0,01-03-2021
864956142,ATTEMPT TO MURDER ,Sec. 307 IPC,Terrorism /Naxalism / Extremism,0,01-03-2021
643336260,ATTEMPT TO MURDER ,Sec. 307 IPC,For Political Reasons,3,01-03-2021
124480034,ATTEMPT TO MURDER ,Sec. 307 IPC,Adultery,2,01-03-2021
358737528,ATTEMPT TO MURDER ,Sec. 307 IPC,Electoral Gain,0,01-03-2021
346268403,ATTEMPT TO MURDER ,Sec. 307 IPC,Gang Rivalry,0,01-03-2021
952314337,ATTEMPT TO MURDER ,Sec. 307 IPC,Love Intrigue,1,01-03-2021
620980847,ATTEMPT TO MURDER ,Sec. 307 IPC,Professional,0,01-03-2021
850629480,ATTEMPT TO MURDER ,Sec. 307 IPC,Rape,0,01-03-2021
178774233,ATTEMPT TO MURDER ,Sec. 307 IPC,Revenge/Enemity,16,01-03-2021
615620286,ATTEMPT TO MURDER ,Sec. 307 IPC,Sudden Quarrel,14,01-03-2021
132175732,ATTEMPT TO MURDER ,Sec. 307 IPC,Village Dispute,1,01-03-2021
417177700,ATTEMPT TO MURDER ,Sec. 307 IPC,Civil Disputes,22,01-03-2021
675472343,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Others,5,01-03-2021
466590298,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,For Gain,0,01-03-2021
185701487,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Over Civil Dispute,0,01-03-2021
451003216,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Personal Vendetta or enemity,0,01-03-2021
457509537,"CULPABLE HOMICIDE NOT AMOUNTING TO
MURDER ",Sec.304 IPC,Due to Sexual jealousy,0,01-03-2021
